fips,hsa,hsa_name
12027,213,"Sarasota (Sarasota), FL - Charlotte, FL"
12029,159,"Alachua (Gainesville), FL - Columbia, FL"
12031,158,"Duval (Jacksonville), FL - Clay, FL"
12033,163,"Escambia (Pensacola), FL - Okaloosa, FL"
12035,142,"Orange (Orlando), FL - Volusia, FL"
12037,183,"Leon (Tallahassee), FL - Gadsden, FL"
12039,183,"Leon (Tallahassee), FL - Gadsden, FL"
12041,159,"Alachua (Gainesville), FL - Columbia, FL"
12043,165,"Lee (Cape Coral), FL - Collier, FL"
12045,155,"Bay (Panama City), FL - Jackson, FL"
12047,159,"Alachua (Gainesville), FL - Columbia, FL"
12049,202,"Polk (Lakeland), FL - Highlands, FL"
12051,165,"Lee (Cape Coral), FL - Collier, FL"
12053,227,"Hillsborough (Tampa), FL - Pinellas, FL"
12055,202,"Polk (Lakeland), FL - Highlands, FL"
12057,227,"Hillsborough (Tampa), FL - Pinellas, FL"
12059,155,"Bay (Panama City), FL - Jackson, FL"
12061,237,"Brevard (Palm Bay), FL - Indian River, FL"
12063,155,"Bay (Panama City), FL - Jackson, FL"
12065,183,"Leon (Tallahassee), FL - Gadsden, FL"
12067,159,"Alachua (Gainesville), FL - Columbia, FL"
12069,142,"Orange (Orlando), FL - Volusia, FL"
12071,165,"Lee (Cape Coral), FL - Collier, FL"
12073,183,"Leon (Tallahassee), FL - Gadsden, FL"
12075,159,"Alachua (Gainesville), FL - Columbia, FL"
12077,183,"Leon (Tallahassee), FL - Gadsden, FL"
12079,183,"Leon (Tallahassee), FL - Gadsden, FL"
12081,266,"Manatee, FL"
12083,233,"Marion (Ocala), FL - Citrus, FL"
12085,221,"Palm Beach (West Palm Beach), FL - St. Lucie, FL"
12086,200,"Miami-Dade (Miami), FL - Broward, FL"
12087,200,"Miami-Dade (Miami), FL - Broward, FL"
12089,158,"Duval (Jacksonville), FL - Clay, FL"
12091,163,"Escambia (Pensacola), FL - Okaloosa, FL"
12093,221,"Palm Beach (West Palm Beach), FL - St. Lucie, FL"
12095,142,"Orange (Orlando), FL - Volusia, FL"
12097,257,"Osceola, FL"
12099,221,"Palm Beach (West Palm Beach), FL - St. Lucie, FL"
12101,227,"Hillsborough (Tampa), FL - Pinellas, FL"
12103,227,"Hillsborough (Tampa), FL - Pinellas, FL"
12105,202,"Polk (Lakeland), FL - Highlands, FL"
12107,251,"St. Johns (St. Augustine), FL - Putnam, FL"
12109,251,"St. Johns (St. Augustine), FL - Putnam, FL"
12111,221,"Palm Beach (West Palm Beach), FL - St. Lucie, FL"
12113,163,"Escambia (Pensacola), FL - Okaloosa, FL"
12115,213,"Sarasota (Sarasota), FL - Charlotte, FL"
12117,142,"Orange (Orlando), FL - Volusia, FL"
12119,142,"Orange (Orlando), FL - Volusia, FL"
12121,159,"Alachua (Gainesville), FL - Columbia, FL"
12123,183,"Leon (Tallahassee), FL - Gadsden, FL"
12125,159,"Alachua (Gainesville), FL - Columbia, FL"
12127,142,"Orange (Orlando), FL - Volusia, FL"
12129,183,"Leon (Tallahassee), FL - Gadsden, FL"
12131,163,"Escambia (Pensacola), FL - Okaloosa, FL"
12133,155,"Bay (Panama City), FL - Jackson, FL"
13001,230,"Wayne, GA - Appling, GA"
13003,236,"Coffee, GA - Jeff Davis, GA"
13005,174,"Ware, GA - Pierce, GA"
13007,144,"Dougherty (Albany), GA - Lee, GA"
13009,201,"Baldwin, GA - Putnam, GA"
13011,157,"Hall, GA - Habersham, GA"
13013,164,"Clarke (Athens), GA - Barrow, GA"
13015,154,"Floyd, GA - Bartow, GA"
13017,189,"Tift, GA - Ben Hill, GA"
13019,180,"Lowndes, GA - Brooks, GA"
13021,193,"Bibb (Macon), GA - Houston, GA"
13023,193,"Bibb (Macon), GA - Houston, GA"
13025,158,"Duval (Jacksonville), FL - Clay, FL"
13027,180,"Lowndes, GA - Brooks, GA"
13029,143,"Chatham (Savannah), GA - Beaufort, SC"
13031,222,"Bulloch, GA - Emanuel, GA"
13033,152,"Richmond (South Augusta), GA - Aiken, SC"
13035,204,"Spalding (Griffin), GA - Butts, GA"
13037,144,"Dougherty (Albany), GA - Lee, GA"
13039,158,"Duval (Jacksonville), FL - Clay, FL"
13043,222,"Bulloch, GA - Emanuel, GA"
13045,177,"Calhoun (Anniston), AL - Carroll, GA"
13047,141,"Hamilton (Chattanooga), TN - Walker, GA"
13049,158,"Duval (Jacksonville), FL - Clay, FL"
13051,143,"Chatham (Savannah), GA - Beaufort, SC"
13053,166,"Muscogee (Columbus), GA - Russell, AL"
13055,154,"Floyd, GA - Bartow, GA"
13057,190,"Cobb (Marietta), GA - Cherokee, GA"
13059,164,"Clarke (Athens), GA - Barrow, GA"
13061,144,"Dougherty (Albany), GA - Lee, GA"
13063,153,"Fulton (Atlanta), GA - DeKalb, GA"
13065,174,"Ware, GA - Pierce, GA"
13067,190,"Cobb (Marietta), GA - Cherokee, GA"
13069,236,"Coffee, GA - Jeff Davis, GA"
13071,254,"Colquitt, GA"
13073,152,"Richmond (South Augusta), GA - Aiken, SC"
13075,180,"Lowndes, GA - Brooks, GA"
13077,172,"Coweta, GA - Troup (La Grange), GA"
13079,193,"Bibb (Macon), GA - Houston, GA"
13081,197,"Sumter, GA - Crisp, GA"
13083,141,"Hamilton (Chattanooga), TN - Walker, GA"
13085,157,"Hall, GA - Habersham, GA"
13087,228,"Decatur, GA - Seminole, GA"
13089,153,"Fulton (Atlanta), GA - DeKalb, GA"
13091,206,"Laurens, GA - Toombs, GA"
13093,197,"Sumter, GA - Crisp, GA"
13095,144,"Dougherty (Albany), GA - Lee, GA"
13097,190,"Cobb (Marietta), GA - Cherokee, GA"
13099,144,"Dougherty (Albany), GA - Lee, GA"
13101,180,"Lowndes, GA - Brooks, GA"
13103,143,"Chatham (Savannah), GA - Beaufort, SC"
13105,253,"Elbert, GA - Wilkes, GA"
13107,222,"Bulloch, GA - Emanuel, GA"
13109,143,"Chatham (Savannah), GA - Beaufort, SC"
13111,173,"Bradley, TN - Gilmer, GA"
13113,153,"Fulton (Atlanta), GA - DeKalb, GA"
13115,154,"Floyd, GA - Bartow, GA"
13117,153,"Fulton (Atlanta), GA - DeKalb, GA"
13119,216,"Stephens, GA - Hart, GA"
13121,153,"Fulton (Atlanta), GA - DeKalb, GA"
13123,173,"Bradley, TN - Gilmer, GA"
13125,152,"Richmond (South Augusta), GA - Aiken, SC"
13127,158,"Duval (Jacksonville), FL - Clay, FL"
13129,154,"Floyd, GA - Bartow, GA"
13131,178,"Thomas, GA - Mitchell, GA"
13133,164,"Clarke (Athens), GA - Barrow, GA"
13135,153,"Fulton (Atlanta), GA - DeKalb, GA"
13137,157,"Hall, GA - Habersham, GA"
13139,157,"Hall, GA - Habersham, GA"
13141,201,"Baldwin, GA - Putnam, GA"
13143,177,"Calhoun (Anniston), AL - Carroll, GA"
13145,166,"Muscogee (Columbus), GA - Russell, AL"
13147,216,"Stephens, GA - Hart, GA"
13149,172,"Coweta, GA - Troup (La Grange), GA"
13151,153,"Fulton (Atlanta), GA - DeKalb, GA"
13153,193,"Bibb (Macon), GA - Houston, GA"
13155,189,"Tift, GA - Ben Hill, GA"
13157,164,"Clarke (Athens), GA - Barrow, GA"
